ID_Livro,Titulo,Numero_Paginas,Data_Aquisicao,Categoria,Valor_Aquisicao,Exemplares_Disponiveis,Biblioteca,Exemplares_Emprestados,Idioma,Renovacoes_Realizadas
299,Grande Sertão: Veredas #299,489,2015-10-26,Romance,20.2,1,SP,2,Português,4
300,Memórias Póstumas #300,482,2015-10-27,Fantasia,85.99,4,MG,7,Português,7
301,O Código Da Vinci #301,1134,2015-10-28,Infantil,143.94,4,ES,8,Português,5
302,A Revolução dos Bichos #302,843,2015-10-29,Ficção,56.75,6,ES,9,Inglês,1
303,A Revolução dos Bichos #303,731,2015-10-30,Ficção Científica,77.52,3,RJ,7,Espanhol,4
304,Orgulho e Preconceito #304,1187,2015-10-31,Infantil,57.97,4,ES,3,Português,5
305,Cem Anos de Solidão #305,647,2015-11-01,Infantil,141.41,5,SP,3,Português,1
306,Grande Sertão: Veredas #306,598,2015-11-02,Ficção Científica,109.54,8,SP,0,Português,3
307,Ensaio Sobre a Cegueira #307,106,2015-11-03,Suspense,72.58,3,MG,7,Português,2
308,Neuromancer #308,89,2015-11-04,Clássico,95.95,4,ES,11,Francês,1
309,Memórias Póstumas #309,755,2015-11-05,Terror,60.55,5,MG,3,Português,6
310,O Pequeno Príncipe #310,95,2015-11-06,Romance,54.0,5,ES,6,Português,7
311,A Revolução dos Bichos #311,252,2015-11-07,Ficção Científica,54.24,6,SP,3,Português,1
312,Ensaio Sobre a Cegueira #312,552,2015-11-08,Infantil,22.47,4,RJ,6,Português,3
313,Capitães da Areia #313,271,2015-11-09,Ficção,96.53,1,MG,1,Espanhol,2
314,A Hora da Estrela #314,1160,2015-11-10,Fantasia,59.06,5,ES,12,Francês,7
315,A Hora da Estrela #315,1116,2015-11-11,Fantasia,137.14,9,ES,8,Francês,7
316,Cem Anos de Solidão #316,1180,2015-11-12,Romance,26.72,4,RJ,7,Espanhol,3
317,Orgulho e Preconceito #317,915,2015-11-13,Infantil,65.4,3,SP,0,Inglês,7
318,Harry Potter #318,780,2015-11-14,Distopia,103.44,4,ES,3,Português,4
319,O Senhor dos Anéis #319,234,2015-11-15,Romance,128.5,7,RJ,2,Inglês,1
320,A Hora da Estrela #320,1118,2015-11-16,Clássico,64.54,4,MG,4,Português,1
321,Moby Dick #321,1076,2015-11-17,Romance,117.13,1,RJ,1,Espanhol,8
322,A Hora da Estrela #322,1058,2015-11-18,Infantil,116.17,6,RJ,4,Português,6
323,Grande Sertão: Veredas #323,1022,2015-11-19,Ficção,73.29,6,MG,1,Espanhol,0
324,O Hobbit #324,185,2015-11-20,Fantasia,65.47,8,ES,7,Espanhol,2
325,A Hora da Estrela #325,168,2015-11-21,Infantil,35.49,1,MG,11,Espanhol,2
326,O Hobbit #326,147,2015-11-22,Fantasia,130.45,8,ES,9,Inglês,7
327,O Código Da Vinci #327,719,2015-11-23,Terror,113.3,7,MG,8,Espanhol,0
328,Drácula #328,213,2015-11-24,Terror,48.2,5,MG,1,Português,0
329,Harry Potter #329,347,2015-11-25,Fantasia,140.78,5,SP,12,Inglês,6
330,O Senhor dos Anéis #330,268,2015-11-26,Ficção Científica,61.57,3,RJ,4,Inglês,5
331,O Hobbit #331,515,2015-11-27,Infantil,25.57,6,MG,5,Francês,7
332,O Senhor dos Anéis #332,553,2015-11-28,Fantasia,121.29,7,ES,12,Espanhol,6
333,It - A Coisa #333,843,2015-11-29,Terror,102.24,6,SP,2,Português,5
334,Ensaio Sobre a Cegueira #334,482,2015-11-30,Romance,97.83,3,SP,11,Espanhol,2
335,O Pequeno Príncipe #335,588,2015-12-01,Terror,56.19,5,SP,4,Espanhol,5
336,Capitães da Areia #336,191,2015-12-02,Fantasia,24.01,3,ES,6,Inglês,7
337,Cem Anos de Solidão #337,663,2015-12-03,Terror,21.69,2,MG,7,Inglês,6
338,O Pequeno Príncipe #338,188,2015-12-04,Clássico,49.01,3,ES,10,Inglês,1
339,Ensaio Sobre a Cegueira #339,1021,2015-12-05,Infantil,143.22,8,MG,8,Espanhol,2
340,Ensaio Sobre a Cegueira #340,961,2015-12-06,Realismo Mágico,110.86,4,SP,9,Português,8
341,O Senhor dos Anéis #341,438,2015-12-07,Terror,71.77,4,ES,9,Espanhol,4
342,Dom Casmurro #342,941,2015-12-08,Clássico,42.11,2,RJ,0,Espanhol,7
343,Cem Anos de Solidão #343,1123,2015-12-09,Ficção Científica,56.99,3,MG,5,Inglês,1
344,Dom Casmurro #344,240,2015-12-10,Suspense,134.37,9,ES,0,Francês,5
345,Harry Potter #345,172,2015-12-11,Suspense,145.51,5,SP,2,Inglês,4
346,Neuromancer #346,394,2015-12-12,Fantasia,139.07,10,MG,11,Francês,7
347,Drácula #347,346,2015-12-13,Terror,147.04,7,SP,9,Português,3
348,Neuromancer #348,718,2015-12-14,Ficção,129.66,4,MG,12,Português,6
349,Neuromancer #349,422,2015-12-15,Ficção Científica,91.45,3,ES,3,Francês,6
350,O Senhor dos Anéis #350,746,2015-12-16,Suspense,55.15,7,MG,4,Francês,4
351,O Senhor dos Anéis #351,271,2015-12-17,Fantasia,36.62,5,SP,12,Inglês,8
352,Neuromancer #352,313,2015-12-18,Ficção Científica,113.74,10,RJ,1,Português,7
353,A Revolução dos Bichos #353,597,2015-12-19,Ficção Científica,144.78,7,RJ,6,Português,6
354,O Alquimista #354,390,2015-12-20,Ficção Científica,82.05,4,MG,7,Espanhol,4
355,Harry Potter #355,688,2015-12-21,Suspense,22.01,3,ES,6,Francês,3
356,A Hora da Estrela #356,513,2015-12-22,Suspense,23.89,7,RJ,2,Espanhol,6
357,Drácula #357,745,2015-12-23,Ficção Científica,57.6,5,MG,6,Português,0
358,1984 #358,1199,2015-12-24,Fantasia,133.62,1,ES,2,Português,3
359,Capitães da Areia #359,148,2015-12-25,Ficção,84.74,5,ES,3,Português,4
360,Capitães da Areia #360,1026,2015-12-26,Fantasia,127.58,3,MG,8,Português,3
361,Cem Anos de Solidão #361,1189,2015-12-27,Realismo Mágico,122.11,6,SP,5,Português,6
362,Orgulho e Preconceito #362,627,2015-12-28,Romance,134.93,4,MG,3,Português,3
363,Grande Sertão: Veredas #363,1162,2015-12-29,Ficção Científica,79.07,4,SP,10,Inglês,3
364,Dom Casmurro #364,1019,2015-12-30,Terror,34.96,10,ES,6,Espanhol,0
365,1984 #365,379,2015-12-31,Clássico,84.08,9,SP,3,Inglês,4
366,Dom Casmurro #366,343,2016-01-01,Clássico,123.61,8,SP,11,Espanhol,3
367,Dom Casmurro #367,382,2016-01-02,Fantasia,111.85,3,SP,9,Português,8
368,O Hobbit #368,272,2016-01-03,Distopia,139.31,4,MG,12,Inglês,3
369,A Revolução dos Bichos #369,251,2016-01-04,Realismo Mágico,50.98,10,SP,9,Francês,8
370,Neuromancer #370,235,2016-01-05,Distopia,84.4,1,RJ,10,Espanhol,4
371,Harry Potter #371,586,2016-01-06,Realismo Mágico,53.12,7,SP,2,Inglês,5
372,Moby Dick #372,190,2016-01-07,Ficção Científica,35.79,9,RJ,12,Espanhol,6
373,Drácula #373,870,2016-01-08,Fantasia,101.56,2,MG,10,Espanhol,1
374,Harry Potter #374,85,2016-01-09,Romance,128.7,4,RJ,6,Inglês,5
375,Cem Anos de Solidão #375,839,2016-01-10,Fantasia,77.9,3,RJ,11,Português,8
376,1984 #376,535,2016-01-11,Terror,93.54,3,RJ,6,Português,6
377,Dom Casmurro #377,802,2016-01-12,Romance,52.15,7,RJ,10,Francês,5
378,O Alquimista #378,939,2016-01-13,Realismo Mágico,30.29,2,RJ,10,Francês,4
379,Ensaio Sobre a Cegueira #379,284,2016-01-14,Ficção Científica,144.52,9,ES,4,Francês,6
380,A Revolução dos Bichos #380,433,2016-01-15,Ficção,31.48,8,ES,2,Espanhol,7
381,Orgulho e Preconceito #381,795,2016-01-16,Distopia,145.78,2,MG,9,Espanhol,1
382,Orgulho e Preconceito #382,658,2016-01-17,Suspense,91.34,10,MG,0,Francês,4
383,Moby Dick #383,538,2016-01-18,Realismo Mágico,97.51,2,ES,4,Português,4
384,A Revolução dos Bichos #384,507,2016-01-19,Terror,74.13,1,ES,12,Espanhol,4
385,A Revolução dos Bichos #385,155,2016-01-20,Clássico,22.58,1,ES,4,Inglês,7
386,Cem Anos de Solidão #386,1115,2016-01-21,Ficção Científica,98.29,7,MG,11,Inglês,4
387,Memórias Póstumas #387,122,2016-01-22,Clássico,35.51,6,ES,6,Francês,2
388,O Código Da Vinci #388,934,2016-01-23,Clássico,106.39,9,RJ,12,Francês,2
389,Harry Potter #389,435,2016-01-24,Clássico,89.69,3,RJ,8,Espanhol,2
390,Ensaio Sobre a Cegueira #390,85,2016-01-25,Realismo Mágico,74.69,8,SP,11,Inglês,4
391,O Hobbit #391,234,2016-01-26,Ficção,44.0,8,ES,11,Espanhol,1
392,Cem Anos de Solidão #392,652,2016-01-27,Fantasia,123.71,6,SP,1,Português,0
393,O Hobbit #393,759,2016-01-28,Ficção,139.28,1,ES,3,Português,5
394,Harry Potter #394,140,2016-01-29,Ficção,127.83,3,SP,4,Português,3
395,Grande Sertão: Veredas #395,957,2016-01-30,Romance,108.17,1,RJ,8,Espanhol,8
396,Memórias Póstumas #396,573,2016-01-31,Distopia,91.11,6,RJ,1,Português,4
397,Cem Anos de Solidão #397,1079,2016-02-01,Ficção Científica,32.1,6,SP,7,Inglês,4
398,Harry Potter #398,529,2016-02-02,Realismo Mágico,105.56,5,RJ,12,Inglês,6
399,Capitães da Areia #399,408,2016-02-03,Romance,33.02,8,SP,2,Inglês,8
400,A Revolução dos Bichos #400,892,2016-02-04,Clássico,149.01,4,MG,4,Português,3
401,1984 #401,797,2016-02-05,Distopia,83.21,9,RJ,10,Espanhol,6
402,Dom Casmurro #402,118,2016-02-06,Suspense,59.39,5,MG,5,Francês,4
403,Drácula #403,463,2016-02-07,Ficção,149.09,2,RJ,0,Português,2
404,Dom Casmurro #404,508,2016-02-08,Infantil,23.01,1,MG,1,Francês,4
405,O Hobbit #405,887,2016-02-09,Ficção Científica,44.64,10,SP,2,Inglês,2
406,O Pequeno Príncipe #406,157,2016-02-10,Fantasia,113.78,8,RJ,3,Português,7
407,Dom Casmurro #407,710,2016-02-11,Ficção Científica,63.58,7,MG,9,Português,4
408,Grande Sertão: Veredas #408,784,2016-02-12,Ficção Científica,58.43,3,MG,3,Espanhol,7
409,O Pequeno Príncipe #409,1027,2016-02-13,Romance,99.25,1,SP,12,Francês,7
410,A Hora da Estrela #410,862,2016-02-14,Distopia,117.91,8,ES,10,Inglês,4
411,Drácula #411,123,2016-02-15,Fantasia,94.32,3,RJ,4,Português,3
412,Neuromancer #412,239,2016-02-16,Ficção,43.81,5,MG,7,Português,8
413,It - A Coisa #413,947,2016-02-17,Terror,49.32,5,RJ,12,Espanhol,0
414,1984 #414,479,2016-02-18,Realismo Mágico,135.54,4,ES,9,Francês,2
415,Dom Casmurro #415,689,2016-02-19,Infantil,111.37,6,ES,7,Espanhol,5
416,A Revolução dos Bichos #416,1037,2016-02-20,Ficção,131.04,5,SP,6,Inglês,7
417,Harry Potter #417,1146,2016-02-21,Clássico,140.29,3,ES,11,Português,8
418,A Revolução dos Bichos #418,1006,2016-02-22,Romance,140.62,6,ES,12,Francês,2
419,O Senhor dos Anéis #419,936,2016-02-23,Ficção,126.35,1,SP,4,Espanhol,3
420,Ensaio Sobre a Cegueira #420,834,2016-02-24,Ficção,78.3,6,SP,1,Português,8
421,Cem Anos de Solidão #421,626,2016-02-25,Romance,63.11,5,MG,3,Português,5
422,Moby Dick #422,974,2016-02-26,Distopia,43.42,2,SP,0,Espanhol,6
423,Ensaio Sobre a Cegueira #423,391,2016-02-27,Infantil,73.71,8,RJ,3,Português,3
424,Neuromancer #424,1135,2016-02-28,Ficção Científica,130.66,5,SP,8,Espanhol,7
425,Grande Sertão: Veredas #425,421,2016-02-29,Fantasia,47.59,7,RJ,5,Francês,4
426,Drácula #426,1172,2016-03-01,Ficção,128.02,1,MG,8,Espanhol,3
427,1984 #427,736,2016-03-02,Suspense,92.4,5,SP,2,Francês,6
428,O Código Da Vinci #428,402,2016-03-03,Infantil,99.2,3,MG,0,Inglês,0
429,Neuromancer #429,1005,2016-03-04,Realismo Mágico,71.97,2,ES,11,Português,3
430,Harry Potter #430,942,2016-03-05,Fantasia,111.09,8,RJ,2,Inglês,3
431,Grande Sertão: Veredas #431,1170,2016-03-06,Fantasia,35.86,3,MG,12,Espanhol,4
432,Grande Sertão: Veredas #432,971,2016-03-07,Fantasia,120.23,8,ES,12,Francês,4
433,O Código Da Vinci #433,715,2016-03-08,Ficção,71.08,8,ES,3,Português,2
434,Memórias Póstumas #434,322,2016-03-09,Ficção Científica,36.07,4,RJ,5,Português,4
435,O Pequeno Príncipe #435,612,2016-03-10,Fantasia,38.51,8,RJ,0,Inglês,7
436,Orgulho e Preconceito #436,1106,2016-03-11,Infantil,30.99,4,ES,8,Francês,0
437,Grande Sertão: Veredas #437,255,2016-03-12,Suspense,132.37,4,RJ,1,Francês,3
438,It - A Coisa #438,250,2016-03-13,Realismo Mágico,57.47,1,MG,9,Inglês,8
439,O Pequeno Príncipe #439,419,2016-03-14,Suspense,121.14,2,MG,9,Francês,4
440,Memórias Póstumas #440,189,2016-03-15,Ficção,111.9,2,MG,7,Francês,1
441,O Código Da Vinci #441,1047,2016-03-16,Infantil,149.05,7,SP,2,Espanhol,6
442,It - A Coisa #442,1115,2016-03-17,Fantasia,96.12,1,SP,4,Português,1
443,Grande Sertão: Veredas #443,1144,2016-03-18,Infantil,103.66,8,RJ,5,Espanhol,6
444,O Hobbit #444,257,2016-03-19,Terror,71.26,9,MG,10,Inglês,7
445,1984 #445,233,2016-03-20,Romance,104.52,7,SP,7,Português,8
446,Neuromancer #446,1140,2016-03-21,Distopia,113.03,2,SP,8,Espanhol,5
447,Orgulho e Preconceito #447,294,2016-03-22,Terror,30.26,2,MG,6,Português,0
448,It - A Coisa #448,752,2016-03-23,Suspense,125.26,8,MG,6,Francês,6
449,Cem Anos de Solidão #449,383,2016-03-24,Terror,39.73,2,MG,6,Português,3
450,Dom Casmurro #450,684,2016-03-25,Fantasia,81.86,9,SP,12,Espanhol,7
451,Memórias Póstumas #451,137,2016-03-26,Ficção,109.95,3,MG,4,Francês,0
452,O Pequeno Príncipe #452,137,2016-03-27,Romance,26.93,5,SP,10,Espanhol,8
453,O Alquimista #453,584,2016-03-28,Ficção Científica,108.64,5,SP,9,Português,2
454,1984 #454,1122,2016-03-29,Realismo Mágico,99.71,4,MG,9,Espanhol,4
455,Cem Anos de Solidão #455,968,2016-03-30,Romance,56.76,7,MG,3,Francês,6
456,Moby Dick #456,863,2016-03-31,Romance,34.16,3,SP,12,Português,2
457,It - A Coisa #457,538,2016-04-01,Ficção Científica,29.79,5,MG,5,Português,2
458,1984 #458,346,2016-04-02,Terror,90.3,9,SP,4,Francês,2
459,It - A Coisa #459,936,2016-04-03,Clássico,91.86,3,ES,6,Espanhol,8
460,O Hobbit #460,1019,2016-04-04,Fantasia,48.42,5,MG,2,Português,1
461,Moby Dick #461,824,2016-04-05,Fantasia,97.7,4,MG,12,Espanhol,5
462,Dom Casmurro #462,1117,2016-04-06,Terror,27.65,2,ES,6,Português,4
463,A Revolução dos Bichos #463,1024,2016-04-07,Ficção,132.32,6,MG,7,Inglês,8
464,Dom Casmurro #464,207,2016-04-08,Terror,98.82,1,MG,1,Espanhol,2
465,O Pequeno Príncipe #465,832,2016-04-09,Romance,97.29,9,ES,7,Francês,5
466,Cem Anos de Solidão #466,746,2016-04-10,Infantil,30.91,2,MG,7,Português,2
467,Ensaio Sobre a Cegueira #467,642,2016-04-11,Romance,103.73,6,SP,7,Francês,4
468,Capitães da Areia #468,664,2016-04-12,Suspense,25.03,6,MG,1,Francês,7
469,Ensaio Sobre a Cegueira #469,1144,2016-04-13,Ficção Científica,128.64,8,MG,5,Francês,5
470,Dom Casmurro #470,876,2016-04-14,Infantil,31.66,7,SP,6,Francês,8
471,Harry Potter #471,892,2016-04-15,Realismo Mágico,29.0,4,SP,7,Português,7
472,Dom Casmurro #472,357,2016-04-16,Fantasia,70.05,2,MG,0,Espanhol,8
473,Ensaio Sobre a Cegueira #473,389,2016-04-17,Distopia,143.96,6,SP,4,Português,8
474,Moby Dick #474,586,2016-04-18,Fantasia,57.5,1,ES,7,Francês,7
475,O Código Da Vinci #475,861,2016-04-19,Ficção,77.82,4,MG,5,Francês,2
476,1984 #476,1011,2016-04-20,Ficção,74.85,3,MG,7,Espanhol,4
477,O Pequeno Príncipe #477,296,2016-04-21,Suspense,91.35,8,SP,1,Francês,8
478,Dom Casmurro #478,1127,2016-04-22,Ficção,30.11,2,ES,1,Português,0
479,Cem Anos de Solidão #479,584,2016-04-23,Realismo Mágico,96.4,2,RJ,12,Espanhol,8
480,Cem Anos de Solidão #480,1146,2016-04-24,Ficção Científica,46.8,10,SP,4,Inglês,2
481,O Alquimista #481,176,2016-04-25,Terror,22.8,9,RJ,4,Francês,1
482,O Hobbit #482,272,2016-04-26,Fantasia,50.95,4,SP,2,Português,0
483,Dom Casmurro #483,712,2016-04-27,Ficção,41.52,5,SP,10,Francês,7
484,O Código Da Vinci #484,1021,2016-04-28,Fantasia,62.73,10,ES,3,Inglês,1
485,O Hobbit #485,317,2016-04-29,Clássico,65.39,9,ES,6,Espanhol,2
486,O Alquimista #486,1007,2016-04-30,Infantil,73.62,9,SP,10,Português,1
487,Cem Anos de Solidão #487,534,2016-05-01,Suspense,111.47,3,ES,3,Francês,6
488,A Revolução dos Bichos #488,505,2016-05-02,Realismo Mágico,123.47,1,SP,3,Francês,5
489,Ensaio Sobre a Cegueira #489,654,2016-05-03,Realismo Mágico,23.69,7,MG,10,Inglês,7
490,Cem Anos de Solidão #490,420,2016-05-04,Suspense,98.63,7,SP,11,Francês,8
491,A Revolução dos Bichos #491,233,2016-05-05,Terror,117.12,6,MG,2,Português,6
492,Drácula #492,603,2016-05-06,Terror,108.39,1,SP,2,Português,2
493,O Hobbit #493,309,2016-05-07,Romance,140.76,2,SP,9,Inglês,2
494,O Código Da Vinci #494,223,2016-05-08,Ficção Científica,98.59,1,RJ,0,Francês,4
495,O Hobbit #495,439,2016-05-09,Terror,39.5,4,SP,3,Inglês,1
496,Moby Dick #496,682,2016-05-10,Ficção,83.3,9,RJ,0,Português,7
497,Harry Potter #497,92,2016-05-11,Clássico,69.32,8,RJ,3,Espanhol,0
498,Drácula #498,1132,2016-05-12,Ficção,78.75,5,MG,11,Francês,1
499,Orgulho e Preconceito #499,1072,2016-05-13,Realismo Mágico,129.98,1,ES,5,Francês,2
500,O Código Da Vinci #500,1136,2016-05-14,Fantasia,35.04,7,MG,5,Espanhol,6
501,Ensaio Sobre a Cegueira #501,1098,2016-05-15,Ficção,50.17,9,ES,6,Espanhol,0
502,Memórias Póstumas #502,309,2016-05-16,Infantil,61.87,4,SP,5,Português,0
503,Moby Dick #503,1085,2016-05-17,Ficção,93.06,2,RJ,4,Francês,0
504,Grande Sertão: Veredas #504,960,2016-05-18,Ficção Científica,108.66,7,MG,11,Espanhol,5
505,O Código Da Vinci #505,198,2016-05-19,Realismo Mágico,130.97,9,ES,0,Português,5
506,A Revolução dos Bichos #506,518,2016-05-20,Infantil,56.1,5,MG,7,Espanhol,0
507,Cem Anos de Solidão #507,612,2016-05-21,Ficção Científica,92.57,9,RJ,9,Inglês,0
508,O Pequeno Príncipe #508,1003,2016-05-22,Realismo Mágico,149.85,9,RJ,4,Inglês,6
509,Drácula #509,1078,2016-05-23,Distopia,43.97,1,SP,12,Espanhol,6
510,O Código Da Vinci #510,986,2016-05-24,Ficção Científica,126.01,3,RJ,8,Espanhol,4
511,Grande Sertão: Veredas #511,989,2016-05-25,Suspense,47.66,5,SP,2,Espanhol,2
512,O Senhor dos Anéis #512,1164,2016-05-26,Fantasia,27.6,9,ES,12,Espanhol,3
513,Ensaio Sobre a Cegueira #513,387,2016-05-27,Ficção Científica,73.91,3,SP,7,Inglês,3
514,O Código Da Vinci #514,283,2016-05-28,Ficção,62.73,8,SP,5,Português,5
515,Memórias Póstumas #515,731,2016-05-29,Terror,125.55,3,MG,7,Inglês,5
516,O Senhor dos Anéis #516,1074,2016-05-30,Suspense,92.22,4,MG,4,Espanhol,2
517,1984 #517,766,2016-05-31,Ficção,54.49,3,ES,8,Espanhol,3
518,A Revolução dos Bichos #518,275,2016-06-01,Ficção Científica,98.68,4,SP,8,Português,7
519,1984 #519,871,2016-06-02,Ficção,111.57,4,SP,9,Inglês,2
520,A Hora da Estrela #520,1063,2016-06-03,Suspense,32.79,10,SP,4,Espanhol,7
521,Dom Casmurro #521,107,2016-06-04,Realismo Mágico,85.62,8,MG,6,Francês,0
522,O Senhor dos Anéis #522,383,2016-06-05,Infantil,81.81,8,MG,9,Francês,3
523,O Hobbit #523,158,2016-06-06,Realismo Mágico,87.18,1,ES,7,Inglês,2
524,Cem Anos de Solidão #524,1045,2016-06-07,Suspense,59.05,2,MG,7,Inglês,8
525,Harry Potter #525,248,2016-06-08,Infantil,88.5,2,ES,2,Português,4
526,O Hobbit #526,976,2016-06-09,Ficção,148.48,4,ES,5,Francês,3
527,O Código Da Vinci #527,817,2016-06-10,Realismo Mágico,141.49,5,ES,9,Inglês,5
528,A Hora da Estrela #528,847,2016-06-11,Fantasia,82.23,6,SP,3,Inglês,4
529,O Pequeno Príncipe #529,259,2016-06-12,Ficção Científica,59.51,2,SP,4,Português,6
530,Drácula #530,1013,2016-06-13,Terror,76.82,10,MG,11,Inglês,8
531,Ensaio Sobre a Cegueira #531,644,2016-06-14,Realismo Mágico,55.01,8,MG,2,Português,3
532,Grande Sertão: Veredas #532,1189,2016-06-15,Terror,33.63,5,SP,6,Inglês,8
533,A Hora da Estrela #533,1086,2016-06-16,Distopia,98.02,7,RJ,0,Português,6
534,Neuromancer #534,1103,2016-06-17,Romance,84.77,3,SP,1,Português,4
535,O Alquimista #535,1089,2016-06-18,Ficção,83.43,1,SP,3,Inglês,6
536,O Senhor dos Anéis #536,644,2016-06-19,Ficção,85.13,4,MG,7,Português,3
537,It - A Coisa #537,288,2016-06-20,Distopia,146.96,1,SP,10,Espanhol,2
538,O Senhor dos Anéis #538,830,2016-06-21,Distopia,119.1,1,SP,6,Francês,4
539,O Senhor dos Anéis #539,633,2016-06-22,Ficção,43.48,5,MG,8,Português,6
540,Capitães da Areia #540,1170,2016-06-23,Terror,82.13,1,SP,7,Inglês,1
541,O Pequeno Príncipe #541,240,2016-06-24,Distopia,120.21,4,ES,5,Espanhol,3
542,Memórias Póstumas #542,207,2016-06-25,Suspense,86.35,3,ES,0,Inglês,6
543,It - A Coisa #543,999,2016-06-26,Ficção Científica,22.97,7,SP,9,Francês,3
544,A Hora da Estrela #544,992,2016-06-27,Ficção,51.42,5,MG,9,Espanhol,4
545,O Pequeno Príncipe #545,749,2016-06-28,Suspense,124.85,5,ES,7,Inglês,2
546,O Senhor dos Anéis #546,554,2016-06-29,Ficção,52.74,5,SP,0,Inglês,2
547,Neuromancer #547,179,2016-06-30,Ficção Científica,28.18,6,SP,2,Português,3
548,Harry Potter #548,133,2016-07-01,Ficção,75.11,9,RJ,0,Português,6
549,A Revolução dos Bichos #549,842,2016-07-02,Clássico,70.06,6,ES,9,Espanhol,5
550,Ensaio Sobre a Cegueira #550,618,2016-07-03,Suspense,96.93,4,MG,7,Inglês,3
551,Grande Sertão: Veredas #551,800,2016-07-04,Suspense,56.87,1,ES,5,Inglês,5
552,Capitães da Areia #552,244,2016-07-05,Distopia,136.51,4,SP,5,Inglês,0
553,Cem Anos de Solidão #553,1094,2016-07-06,Ficção,48.85,5,RJ,8,Português,7
554,Orgulho e Preconceito #554,264,2016-07-07,Terror,43.04,2,MG,6,Inglês,1
555,A Revolução dos Bichos #555,1126,2016-07-08,Ficção Científica,52.71,10,SP,11,Português,6
556,O Hobbit #556,664,2016-07-09,Suspense,101.08,3,MG,4,Inglês,1
557,O Hobbit #557,1196,2016-07-10,Realismo Mágico,56.86,10,MG,2,Inglês,7
558,O Código Da Vinci #558,936,2016-07-11,Romance,117.24,6,RJ,7,Português,1
559,Moby Dick #559,1010,2016-07-12,Suspense,104.44,10,SP,9,Espanhol,7
560,Neuromancer #560,189,2016-07-13,Clássico,69.04,7,SP,9,Português,0
561,It - A Coisa #561,1198,2016-07-14,Ficção,85.19,4,SP,0,Espanhol,2
562,O Alquimista #562,306,2016-07-15,Ficção Científica,132.69,6,MG,5,Francês,0
563,Harry Potter #563,598,2016-07-16,Infantil,138.38,9,RJ,4,Inglês,1
564,O Código Da Vinci #564,413,2016-07-17,Realismo Mágico,71.92,8,ES,7,Francês,0
565,Orgulho e Preconceito #565,562,2016-07-18,Realismo Mágico,56.83,10,ES,3,Inglês,3
566,Moby Dick #566,628,2016-07-19,Distopia,53.32,1,MG,0,Francês,7
567,Capitães da Areia #567,427,2016-07-20,Fantasia,48.65,10,ES,6,Espanhol,5
568,1984 #568,412,2016-07-21,Suspense,31.76,5,ES,7,Espanhol,0
569,A Hora da Estrela #569,895,2016-07-22,Clássico,34.87,10,RJ,10,Português,2
570,O Pequeno Príncipe #570,232,2016-07-23,Romance,129.15,10,MG,3,Espanhol,6
571,Cem Anos de Solidão #571,287,2016-07-24,Romance,66.27,10,RJ,2,Português,2
572,Ensaio Sobre a Cegueira #572,184,2016-07-25,Realismo Mágico,60.51,10,SP,4,Inglês,6
573,Dom Casmurro #573,475,2016-07-26,Suspense,43.6,4,ES,8,Português,7
574,Cem Anos de Solidão #574,876,2016-07-27,Distopia,82.78,9,ES,11,Espanhol,6
575,Orgulho e Preconceito #575,971,2016-07-28,Ficção Científica,101.28,2,RJ,3,Espanhol,5
576,It - A Coisa #576,689,2016-07-29,Suspense,65.33,7,RJ,3,Espanhol,5
577,It - A Coisa #577,690,2016-07-30,Clássico,133.18,3,RJ,5,Português,1
578,Ensaio Sobre a Cegueira #578,127,2016-07-31,Terror,147.08,7,MG,8,Português,0
579,O Alquimista #579,120,2016-08-01,Fantasia,106.65,1,RJ,10,Espanhol,3
580,A Hora da Estrela #580,248,2016-08-02,Ficção Científica,20.1,6,RJ,3,Inglês,8
581,It - A Coisa #581,353,2016-08-03,Fantasia,127.16,5,SP,5,Espanhol,8
582,Capitães da Areia #582,110,2016-08-04,Distopia,63.83,4,RJ,3,Espanhol,3
583,O Alquimista #583,776,2016-08-05,Clássico,137.6,4,ES,8,Espanhol,8
584,O Senhor dos Anéis #584,125,2016-08-06,Ficção,23.96,3,MG,12,Espanhol,3
585,Orgulho e Preconceito #585,873,2016-08-07,Terror,137.44,9,SP,2,Francês,6
586,A Revolução dos Bichos #586,824,2016-08-08,Fantasia,92.74,10,MG,4,Francês,3
587,A Revolução dos Bichos #587,740,2016-08-09,Realismo Mágico,38.04,4,RJ,9,Espanhol,7
588,Grande Sertão: Veredas #588,953,2016-08-10,Clássico,93.44,4,SP,2,Francês,3
589,A Hora da Estrela #589,576,2016-08-11,Distopia,71.32,8,ES,3,Espanhol,3
590,O Senhor dos Anéis #590,241,2016-08-12,Ficção Científica,50.9,5,MG,7,Português,8
591,Capitães da Areia #591,294,2016-08-13,Romance,109.37,2,MG,9,Inglês,6
592,It - A Coisa #592,1199,2016-08-14,Suspense,31.95,9,ES,2,Português,6
593,Cem Anos de Solidão #593,448,2016-08-15,Clássico,144.62,2,ES,9,Português,1
594,Capitães da Areia #594,1182,2016-08-16,Realismo Mágico,59.11,1,ES,3,Português,6
595,O Código Da Vinci #595,884,2016-08-17,Infantil,108.03,5,RJ,0,Francês,8
596,O Senhor dos Anéis #596,1162,2016-08-18,Ficção,98.98,10,RJ,5,Português,0
597,O Alquimista #597,315,2016-08-19,Fantasia,57.08,2,MG,6,Inglês,6
